VaccinationDate,age_group,first_dose,second_dose
2021-01-24,50-59,8945,26382
2021-01-24,80-89,1011,12826
2021-01-24,0-19,10729,1413
2021-01-24,20-29,12020,8574
2021-01-24,40-49,19785,17568
2021-01-24,30-39,10351,11339
2021-01-24,90+,237,3216
2021-01-24,70-79,2035,25359
2021-01-25,0-19,13100,1432
2021-01-25,20-29,16510,9252
2021-01-25,50-59,9911,27970
2021-01-25,30-39,13187,11988
2021-01-25,70-79,2162,23406
2021-01-25,40-49,20470,19544
2021-01-25,80-89,1017,12099
2021-01-25,90+,263,2766
2021-01-25,60-69,4044,30468
2021-01-26,50-59,8763,24783
2021-01-26,20-29,16500,8297
2021-01-26,0-19,12862,1390
2021-01-26,80-89,952,10647
2021-01-26,90+,247,2388
2021-01-26,30-39,13929,10916
2021-01-26,70-79,1999,21030
2021-01-26,60-69,3644,28511
2021-01-26,40-49,19537,17823
2021-01-27,20-29,15168,10387
2021-01-27,0-19,14276,1520
2021-01-27,80-89,873,10252
2021-01-27,50-59,8720,23333
2021-01-27,60-69,3371,28431
2021-01-27,70-79,1770,20105
2021-01-27,30-39,13425,10829
2021-01-27,90+,239,2428
2021-01-27,40-49,19719,17152
2021-01-28,20-29,16177,9956
2021-01-28,0-19,12432,1615
2021-01-28,80-89,676,9135
2021-01-28,30-39,19707,12660
2021-01-28,70-79,1570,18773
2021-01-28,90+,182,2057
2021-01-28,60-69,3090,27875
2021-01-28,40-49,17567,20546
2021-01-28,50-59,7909,27424
2021-01-29,90+,44,661
2021-01-29,20-29,5880,4786
2021-01-29,80-89,261,3246
2021-01-29,0-19,5384,1459
2021-01-29,50-59,3631,14317
2021-01-29,70-79,541,7141
2021-01-29,30-39,10326,7561
2021-01-29,40-49,9104,13920
2021-01-29,60-69,1302,11419
2021-01-30,20-29,5059,3028
2021-01-30,40-49,9103,10456
2021-01-30,90+,33,425
2021-01-30,30-39,10215,5623
2021-01-30,70-79,466,3959
2021-01-30,50-59,3362,9792
2021-01-30,60-69,1037,6663
2021-01-30,80-89,173,1846
2021-01-30,0-19,4779,826
2021-01-31,50-59,7502,12009
2021-01-31,80-89,699,3617
2021-01-31,30-39,20909,7298
2021-01-31,70-79,1610,7207
2021-01-31,40-49,16854,12319
2021-01-31,90+,176,779
2021-01-31,60-69,3076,10859
2021-01-31,0-19,8616,906
2021-01-31,20-29,13637,4241
2021-02-01,90+,239,397
2021-02-01,80-89,872,1715
2021-02-01,30-39,23477,4886
2021-02-01,60-69,3162,5228
2021-02-01,70-79,1768,3475
2021-02-01,40-49,15610,8240
2021-02-01,20-29,20159,2974
2021-02-01,0-19,8926,457
2021-02-01,50-59,7910,7801
2021-02-02,90+,255,310
2021-02-02,30-39,19570,3832
2021-02-02,70-79,1735,2738
2021-02-02,50-59,6730,8676
2021-02-02,60-69,2986,4868
2021-02-02,40-49,13922,6243
2021-02-02,20-29,16126,2395
2021-02-02,0-19,7518,361
